,lemma,pos,synset_cnt,p_cnt,ptr_symbol,sense_cnt,tagsense_cnt,synset_offset
20352,untrusty,a,1,3,"['&', '^', '+']",1,0,['02466111']
20353,untruthful,a,1,4,"['!', '&', '^', '+']",1,0,['01225898']
20354,untucked,a,1,1,!,1,0,02467241
20355,untufted,a,1,1,&,1,0,00060875
20356,untuneful,a,1,0,[],1,0,['01502383']
20357,unturned,a,1,2,"['!', '&']",1,0,['02468326']
20358,untutored,a,1,1,&,1,0,00831696
20359,untwisted,a,1,1,&,1,0,02311442
20360,untypical,a,1,4,"['&', '^', '=', '+']",1,0,['02469928']
20361,ununderstood,a,1,2,"['!', '&']",1,0,['01378878']
20362,unusable,a,1,1,&,1,0,02497830
20363,unuseable,a,1,1,&,1,0,02497830
20364,unused,a,4,1,['&'],4,1,"['00418198', '01643260', '00037188', '00025138']"
20365,unusual,a,3,5,"['!', '&', '^', '=', '+']",3,3,"['00490035', '00967129', '00488857']"
20366,unutterable,a,3,1,['&'],3,0,"['02055617', '00944111', '00501998']"
20367,unuttered,a,1,1,&,1,0,00942380
20368,unvaccinated,a,1,1,&,1,0,02363093
20369,unvalued,a,1,1,&,1,0,00028867
20370,unvaned,a,1,1,&,1,0,00999671
20371,unvanquishable,a,1,1,&,1,0,00570322
20372,unvanquished,a,1,1,&,1,0,00695335
20373,unvaried,a,1,4,"['!', '^', '=', '+']",1,0,['02507968']
20374,unvarnished,a,2,1,['&'],2,0,"['01714406', '00765666']"
20375,unvarying,a,3,3,"['&', '^', '=']",3,1,"['02506029', '02507968', '01966488']"
20376,unveiled,a,1,2,"['!', '&']",1,0,['02508277']
20377,unvendible,a,1,1,&,1,0,02062565
20378,unvented,a,1,1,&,1,0,02509984
20379,unventilated,a,1,3,"['!', '&', '^']",1,1,['02509292']
20380,unverbalised,a,1,1,&,1,0,00942380
20381,unverbalized,a,1,1,&,1,0,00942380
20382,unverifiable,a,1,1,&,1,0,01616350
20383,unverified,a,1,1,&,1,0,01894670
20384,unversed,a,1,1,&,1,0,00937616
20385,unvigilant,a,1,1,^,1,0,00092551
20386,unvindictive,a,1,1,&,1,0,01041408
20387,unvitrified,a,1,2,"['&', ';']",1,0,['01120515']
20388,unvoiced,a,2,2,"['!', '&']",2,0,"['02286294', '00942380']"
20389,unvoluntary,a,1,2,"['&', '^']",1,0,['02521353']
20390,unvulcanised,a,1,1,&,1,0,01953161
20391,unvulcanized,a,1,1,&,1,0,01953161
20392,unwanted,a,2,3,"['!', '&', '^']",2,1,"['02527734', '00733905']"
20393,unwarmed,a,1,1,&,1,0,01254296
20394,unwarrantable,a,1,1,&,1,0,01722367
20395,unwarranted,a,3,1,['&'],3,1,"['01722367', '02353211', '01945350']"
20396,unwary,a,1,4,"['!', '&', '=', '+']",1,0,['00162990']
20397,unwashed,a,2,1,['&'],2,0,"['01593079', '00423874']"
20398,unwatchful,a,1,1,^,1,0,00092551
20399,unwavering,a,2,1,['&'],2,1,"['01990653', '02302537']"
20400,unwaxed,a,1,1,!,1,0,02534417
20401,unweaned,a,1,1,!,1,0,02539223
20402,unwearable,a,1,1,!,1,0,02539576
20403,unwearied,a,1,1,&,1,0,02434929
20404,unweary,a,1,1,&,1,0,02434929
20405,unwearying,a,1,1,&,1,0,00874920
20406,unweathered,a,1,1,&,1,0,02584817
20407,unwebbed,a,1,1,!,1,0,02591372
20408,unwed,a,1,1,&,1,1,01482751
20409,unwedded,a,1,1,&,1,0,01482751
20410,unwelcome,a,2,3,"['!', '&', '^']",2,1,"['02540236', '02529148']"
20411,unwell,a,1,2,"['&', '+']",1,0,['02542325']
20412,unwholesome,a,1,4,"['!', '&', '^', '+']",1,0,['02559180']
20413,unwieldy,a,3,3,"['!', '&', '+']",3,0,"['02563727', '01837605', '01140896']"
20414,unwilled,a,2,1,['&'],2,0,"['02566644', '02522082']"
20415,unwilling,a,2,5,"['!', '&', '^', '=', '+']",2,1,"['02566015', '02522164']"
20416,unwise,a,2,2,"['&', '+']",2,1,"['02572657', '01814252']"
20417,unwished,a,1,1,&,1,0,02529148
20418,unwished-for,a,1,1,&,1,0,02529148
20419,unwitting,a,3,3,"['!', '&', '^']",3,1,"['01339492', '00192880', '01308894']"
20420,unwomanly,a,1,2,"['!', '&']",1,1,['01485502']
20421,unwonted,a,1,1,&,1,0,00488998
20422,unwooded,a,1,3,"['!', '&', '^']",1,0,['02575008']
20423,unworkable,a,1,1,&,1,0,01823574
20424,unworkmanlike,a,1,1,&,1,0,00511966
